2021-12-04          ROCE     ROE   SALES  PROFIT   YIELD     P/E    MCAP     CMP     QTY
Max		  139.29  105.76  999.00  999.00   63.48 1072.44 1527635   38420
Median		   16.95   16.38   26.79   42.99    4.50   31.82   20697     912
----------------------------------------------------------------------------------------
NMDC               29.59   21.81  204.66  209.18   41.80    4.07   42772     145       0
Chemplast Sanmar   40.44   21.53   80.60  999.00   11.01   21.88    9232     583       0
Supreme Petroch.   71.90   54.86   71.56   47.50   13.81    9.91    6707     713       0
Finolex Inds.      35.64   28.81   84.87   89.90   10.65   13.30   12465     200       0
Motil.Oswal.Fin.   22.14   35.02   63.29   80.97   16.19    9.27   14269     970       0
Shyam Metalics     26.67   26.08   86.82  159.22   26.13    5.34    7881     309       0
Angel One          26.85   34.65   70.19   80.18   10.55   21.88    9423    1139       0
Jindal Stain. Hi   24.54   25.35   62.85  212.18   23.74    4.73    6878     291       0
Indus Towers       19.36   24.56  289.29  112.74    8.70   14.23   75646     280       0
Balaji Amines      35.47   30.59   86.18   74.28    4.85   30.26    9973    3078       0
Mahanagar Gas      26.58   20.03   63.82   41.53   12.99   10.81    9062     917       0
G N F C            15.83   12.26   76.55  102.08   34.09    6.08    6568     422       0
JSW Steel          15.53   18.97   68.72  350.09   15.38    7.81  155801     644       0
ICICI Securities   37.00   70.48   25.81   26.28    7.13   19.72   24822     769       0
Vedanta            19.69   20.42   44.03  454.74   19.62    6.56  125381     337       0
Jindal Steel       15.81   14.90   67.04  208.90   33.60    5.11   36667     359       0
Deepak Nitrite     39.88   39.62   70.29   49.44    4.64   29.61   31497    2309       0
B P C L            17.95   27.85   54.71   29.51   13.90    6.80   83711     385       0
Easy Trip Plann.   65.49   46.48  339.44  340.00    2.48   56.75    5478     504       0
Rites              23.37   17.08   72.06   30.41   18.30   13.62    6553     272       0
Jindal Stain.      16.51   12.16   51.68  398.56   18.74    7.27    8209     162       0
Polyplex Corpn     26.46   16.84   26.10   25.54   16.19   12.89    5985    1906       0
Brightcom Group    21.57   15.87   72.91  105.97    6.30   22.01   13124     126       0
Supreme Inds.      41.30   35.91   40.28   30.73    4.93   25.49   29602    2330       0
Apollo Tricoat     43.90   41.69   81.57   40.40    4.26   32.36    4962     816       0
Prince Pipes       28.84   23.76   65.92   63.39    4.43   31.71    8175     739       0
eClerx Services    22.67   17.64   45.03   65.17    7.19   20.54    7433    2130       0
NBCC               19.44   14.27   38.94   68.28   13.05   27.23    7650      42       0
GAIL (India)       13.48   11.97   57.68  159.34   18.71    6.25   58724     132       0
J B Chem & Pharm   32.76   24.72   33.69   32.42    5.06   26.48   12480    1614       0
PNC Infratech      16.95   17.74   43.99   68.41   10.93   13.35    7702     300       0
Tata Steel BSL     12.01   12.63   50.54  437.60   57.53    1.31    9332      85       0
Tanla Platforms    51.96   44.65   44.30   67.14    2.75   47.40   20697    1521       0
Aditya AMC         44.65   34.84   30.12   37.98    4.20   31.82   16745     581       0
Tata Steel         12.65   10.85   54.81  648.80   23.19    4.31  136520    1118       0
BASF India         22.98   19.01   38.45   59.79    6.49   24.39   12529    2894       0
